col1,binaryttype,name,Lenticular,Elliptical,Spiral,path
0,4,0,0,0,1,Data/abraham_images/0.jpg
1,3,1,0,1,0,Data/abraham_images/1.jpg
2,1,2,1,0,0,Data/abraham_images/2.jpg
3,4,3,0,0,1,Data/abraham_images/3.jpg
4,4,4,0,0,1,Data/abraham_images/4.jpg
5,3,5,0,1,0,Data/abraham_images/5.jpg
6,4,6,0,0,1,Data/abraham_images/6.jpg
7,3,7,0,1,0,Data/abraham_images/7.jpg
8,2,9,1,0,0,Data/abraham_images/9.jpg
9,1,10,1,0,0,Data/abraham_images/10.jpg
10,4,11,0,0,1,Data/abraham_images/11.jpg
11,4,13,0,0,1,Data/abraham_images/13.jpg
12,4,14,0,0,1,Data/abraham_images/14.jpg
13,4,15,0,0,1,Data/abraham_images/15.jpg
14,4,16,0,0,1,Data/abraham_images/16.jpg
15,4,17,0,0,1,Data/abraham_images/17.jpg
16,4,18,0,0,1,Data/abraham_images/18.jpg
17,2,19,1,0,0,Data/abraham_images/19.jpg
18,4,20,0,0,1,Data/abraham_images/20.jpg
19,4,21,0,0,1,Data/abraham_images/21.jpg
20,4,22,0,0,1,Data/abraham_images/22.jpg
21,2,24,1,0,0,Data/abraham_images/24.jpg
22,4,25,0,0,1,Data/abraham_images/25.jpg
23,1,26,1,0,0,Data/abraham_images/26.jpg
24,1,27,1,0,0,Data/abraham_images/27.jpg
25,4,28,0,0,1,Data/abraham_images/28.jpg
26,3,29,0,1,0,Data/abraham_images/29.jpg
27,3,30,0,1,0,Data/abraham_images/30.jpg
28,3,31,0,1,0,Data/abraham_images/31.jpg
29,3,32,0,1,0,Data/abraham_images/32.jpg
30,4,33,0,0,1,Data/abraham_images/33.jpg
31,4,34,0,0,1,Data/abraham_images/34.jpg
32,4,35,0,0,1,Data/abraham_images/35.jpg
33,4,36,0,0,1,Data/abraham_images/36.jpg
34,3,37,0,1,0,Data/abraham_images/37.jpg
35,4,38,0,0,1,Data/abraham_images/38.jpg
36,2,39,1,0,0,Data/abraham_images/39.jpg
37,4,40,0,0,1,Data/abraham_images/40.jpg
38,3,41,0,1,0,Data/abraham_images/41.jpg
39,3,42,0,1,0,Data/abraham_images/42.jpg
40,4,43,0,0,1,Data/abraham_images/43.jpg
41,2,44,1,0,0,Data/abraham_images/44.jpg
42,4,45,0,0,1,Data/abraham_images/45.jpg
43,4,46,0,0,1,Data/abraham_images/46.jpg
44,4,47,0,0,1,Data/abraham_images/47.jpg
45,4,48,0,0,1,Data/abraham_images/48.jpg
46,3,49,0,1,0,Data/abraham_images/49.jpg
47,2,50,1,0,0,Data/abraham_images/50.jpg
48,4,51,0,0,1,Data/abraham_images/51.jpg
49,3,52,0,1,0,Data/abraham_images/52.jpg
50,3,53,0,1,0,Data/abraham_images/53.jpg
51,4,54,0,0,1,Data/abraham_images/54.jpg
52,1,55,1,0,0,Data/abraham_images/55.jpg
53,4,56,0,0,1,Data/abraham_images/56.jpg
54,4,57,0,0,1,Data/abraham_images/57.jpg
55,4,58,0,0,1,Data/abraham_images/58.jpg
56,3,59,0,1,0,Data/abraham_images/59.jpg
57,4,60,0,0,1,Data/abraham_images/60.jpg
58,4,61,0,0,1,Data/abraham_images/61.jpg
59,3,62,0,1,0,Data/abraham_images/62.jpg
60,3,63,0,1,0,Data/abraham_images/63.jpg
61,1,64,1,0,0,Data/abraham_images/64.jpg
62,4,65,0,0,1,Data/abraham_images/65.jpg
63,2,66,1,0,0,Data/abraham_images/66.jpg
64,4,67,0,0,1,Data/abraham_images/67.jpg
65,4,68,0,0,1,Data/abraham_images/68.jpg
66,4,69,0,0,1,Data/abraham_images/69.jpg
67,1,70,1,0,0,Data/abraham_images/70.jpg
68,4,71,0,0,1,Data/abraham_images/71.jpg
69,1,72,1,0,0,Data/abraham_images/72.jpg
70,4,73,0,0,1,Data/abraham_images/73.jpg
71,1,74,1,0,0,Data/abraham_images/74.jpg
72,4,75,0,0,1,Data/abraham_images/75.jpg
73,3,76,0,1,0,Data/abraham_images/76.jpg
74,4,77,0,0,1,Data/abraham_images/77.jpg
75,4,78,0,0,1,Data/abraham_images/78.jpg
76,1,79,1,0,0,Data/abraham_images/79.jpg
77,4,80,0,0,1,Data/abraham_images/80.jpg
78,4,81,0,0,1,Data/abraham_images/81.jpg
79,4,82,0,0,1,Data/abraham_images/82.jpg
80,4,83,0,0,1,Data/abraham_images/83.jpg
81,4,84,0,0,1,Data/abraham_images/84.jpg
82,3,85,0,1,0,Data/abraham_images/85.jpg
83,4,86,0,0,1,Data/abraham_images/86.jpg
84,4,87,0,0,1,Data/abraham_images/87.jpg
85,1,88,1,0,0,Data/abraham_images/88.jpg
86,4,89,0,0,1,Data/abraham_images/89.jpg
87,1,90,1,0,0,Data/abraham_images/90.jpg
88,4,91,0,0,1,Data/abraham_images/91.jpg
89,4,92,0,0,1,Data/abraham_images/92.jpg
90,4,93,0,0,1,Data/abraham_images/93.jpg
91,4,94,0,0,1,Data/abraham_images/94.jpg
92,4,95,0,0,1,Data/abraham_images/95.jpg
93,3,96,0,1,0,Data/abraham_images/96.jpg
94,3,97,0,1,0,Data/abraham_images/97.jpg
95,3,98,0,1,0,Data/abraham_images/98.jpg
96,1,99,1,0,0,Data/abraham_images/99.jpg
97,3,100,0,1,0,Data/abraham_images/100.jpg
98,4,101,0,0,1,Data/abraham_images/101.jpg
99,3,102,0,1,0,Data/abraham_images/102.jpg
100,3,103,0,1,0,Data/abraham_images/103.jpg
101,4,104,0,0,1,Data/abraham_images/104.jpg
102,4,105,0,0,1,Data/abraham_images/105.jpg
103,3,106,0,1,0,Data/abraham_images/106.jpg
104,4,107,0,0,1,Data/abraham_images/107.jpg
105,3,108,0,1,0,Data/abraham_images/108.jpg
106,4,109,0,0,1,Data/abraham_images/109.jpg
107,4,110,0,0,1,Data/abraham_images/110.jpg
108,4,111,0,0,1,Data/abraham_images/111.jpg
109,3,112,0,1,0,Data/abraham_images/112.jpg
110,4,113,0,0,1,Data/abraham_images/113.jpg
111,4,114,0,0,1,Data/abraham_images/114.jpg
112,3,115,0,1,0,Data/abraham_images/115.jpg
113,4,116,0,0,1,Data/abraham_images/116.jpg
114,3,117,0,1,0,Data/abraham_images/117.jpg
115,4,118,0,0,1,Data/abraham_images/118.jpg
116,2,119,1,0,0,Data/abraham_images/119.jpg
117,1,120,1,0,0,Data/abraham_images/120.jpg
118,4,121,0,0,1,Data/abraham_images/121.jpg
119,2,122,1,0,0,Data/abraham_images/122.jpg
120,3,123,0,1,0,Data/abraham_images/123.jpg
121,4,124,0,0,1,Data/abraham_images/124.jpg
122,4,125,0,0,1,Data/abraham_images/125.jpg
123,4,126,0,0,1,Data/abraham_images/126.jpg
124,2,127,1,0,0,Data/abraham_images/127.jpg
125,4,128,0,0,1,Data/abraham_images/128.jpg
126,1,129,1,0,0,Data/abraham_images/129.jpg
127,4,130,0,0,1,Data/abraham_images/130.jpg
128,3,131,0,1,0,Data/abraham_images/131.jpg
129,1,132,1,0,0,Data/abraham_images/132.jpg
130,4,133,0,0,1,Data/abraham_images/133.jpg
131,2,134,1,0,0,Data/abraham_images/134.jpg
132,4,135,0,0,1,Data/abraham_images/135.jpg
133,4,136,0,0,1,Data/abraham_images/136.jpg
134,1,137,1,0,0,Data/abraham_images/137.jpg
