binaryttype,name_2,path,Lenticular,Elliptical,Spiral,Other
4,212,../Data/Efigi_images/i_mages/212.0.jpg,0,0,1,0
2,218,../Data/Efigi_images/i_mages/218.0.jpg,1,0,0,0
1,243,../Data/Efigi_images/i_mages/243.0.jpg,1,0,0,0
4,255,../Data/Efigi_images/i_mages/255.0.jpg,0,0,1,0
4,281,../Data/Efigi_images/i_mages/281.0.jpg,0,0,1,0
4,282,../Data/Efigi_images/i_mages/282.0.jpg,0,0,1,0
4,451,../Data/Efigi_images/i_mages/451.0.jpg,0,0,1,0
4,548,../Data/Efigi_images/i_mages/548.0.jpg,0,0,1,0
4,635,../Data/Efigi_images/i_mages/635.0.jpg,0,0,1,0
4,639,../Data/Efigi_images/i_mages/639.0.jpg,0,0,1,0
4,647,../Data/Efigi_images/i_mages/647.0.jpg,0,0,1,0
4,670,../Data/Efigi_images/i_mages/670.0.jpg,0,0,1,0
4,825,../Data/Efigi_images/i_mages/825.0.jpg,0,0,1,0
4,963,../Data/Efigi_images/i_mages/963.0.jpg,0,0,1,0
4,1058,../Data/Efigi_images/i_mages/1058.0.jpg,0,0,1,0
4,1221,../Data/Efigi_images/i_mages/1221.0.jpg,0,0,1,0
4,1224,../Data/Efigi_images/i_mages/1224.0.jpg,0,0,1,0
4,1237,../Data/Efigi_images/i_mages/1237.0.jpg,0,0,1,0
4,1293,../Data/Efigi_images/i_mages/1293.0.jpg,0,0,1,0
4,1306,../Data/Efigi_images/i_mages/1306.0.jpg,0,0,1,0
3,1309,../Data/Efigi_images/i_mages/1309.0.jpg,0,1,0,0
4,1478,../Data/Efigi_images/i_mages/1478.0.jpg,0,0,1,0
4,1523,../Data/Efigi_images/i_mages/1523.0.jpg,0,0,1,0
4,1621,../Data/Efigi_images/i_mages/1621.0.jpg,0,0,1,0
4,1713,../Data/Efigi_images/i_mages/1713.0.jpg,0,0,1,0
4,1747,../Data/Efigi_images/i_mages/1747.0.jpg,0,0,1,0
4,1781,../Data/Efigi_images/i_mages/1781.0.jpg,0,0,1,0
4,1805,../Data/Efigi_images/i_mages/1805.0.jpg,0,0,1,0
4,1841,../Data/Efigi_images/i_mages/1841.0.jpg,0,0,1,0
4,1862,../Data/Efigi_images/i_mages/1862.0.jpg,0,0,1,0
4,1909,../Data/Efigi_images/i_mages/1909.0.jpg,0,0,1,0
4,1932,../Data/Efigi_images/i_mages/1932.0.jpg,0,0,1,0
4,1933,../Data/Efigi_images/i_mages/1933.0.jpg,0,0,1,0
4,1936,../Data/Efigi_images/i_mages/1936.0.jpg,0,0,1,0
4,2016,../Data/Efigi_images/i_mages/2016.0.jpg,0,0,1,0
4,2035,../Data/Efigi_images/i_mages/2035.0.jpg,0,0,1,0
1,2076,../Data/Efigi_images/i_mages/2076.0.jpg,1,0,0,0
1,2149,../Data/Efigi_images/i_mages/2149.0.jpg,1,0,0,0
4,2151,../Data/Efigi_images/i_mages/2151.0.jpg,0,0,1,0
4,2182,../Data/Efigi_images/i_mages/2182.0.jpg,0,0,1,0
4,2269,../Data/Efigi_images/i_mages/2269.0.jpg,0,0,1,0
4,2288,../Data/Efigi_images/i_mages/2288.0.jpg,0,0,1,0
4,2331,../Data/Efigi_images/i_mages/2331.0.jpg,0,0,1,0
1,2332,../Data/Efigi_images/i_mages/2332.0.jpg,1,0,0,0
4,2352,../Data/Efigi_images/i_mages/2352.0.jpg,0,0,1,0
1,2357,../Data/Efigi_images/i_mages/2357.0.jpg,1,0,0,0
4,2365,../Data/Efigi_images/i_mages/2365.0.jpg,0,0,1,0
4,2388,../Data/Efigi_images/i_mages/2388.0.jpg,0,0,1,0
4,2391,../Data/Efigi_images/i_mages/2391.0.jpg,0,0,1,0
4,2440,../Data/Efigi_images/i_mages/2440.0.jpg,0,0,1,0
4,2482,../Data/Efigi_images/i_mages/2482.0.jpg,0,0,1,0
3,2501,../Data/Efigi_images/i_mages/2501.0.jpg,0,1,0,0
3,2522,../Data/Efigi_images/i_mages/2522.0.jpg,0,1,0,0
2,2527,../Data/Efigi_images/i_mages/2527.0.jpg,1,0,0,0
4,2597,../Data/Efigi_images/i_mages/2597.0.jpg,0,0,1,0
4,2600,../Data/Efigi_images/i_mages/2600.0.jpg,0,0,1,0
4,2615,../Data/Efigi_images/i_mages/2615.0.jpg,0,0,1,0
4,2768,../Data/Efigi_images/i_mages/2768.0.jpg,0,0,1,0
4,2800,../Data/Efigi_images/i_mages/2800.0.jpg,0,0,1,0
4,2805,../Data/Efigi_images/i_mages/2805.0.jpg,0,0,1,0
4,2889,../Data/Efigi_images/i_mages/2889.0.jpg,0,0,1,0
4,3072,../Data/Efigi_images/i_mages/3072.0.jpg,0,0,1,0
4,3140,../Data/Efigi_images/i_mages/3140.0.jpg,0,0,1,0
4,3232,../Data/Efigi_images/i_mages/3232.0.jpg,0,0,1,0
1,3312,../Data/Efigi_images/i_mages/3312.0.jpg,1,0,0,0
4,3314,../Data/Efigi_images/i_mages/3314.0.jpg,0,0,1,0
1,3355,../Data/Efigi_images/i_mages/3355.0.jpg,1,0,0,0
4,3377,../Data/Efigi_images/i_mages/3377.0.jpg,0,0,1,0
3,3451,../Data/Efigi_images/i_mages/3451.0.jpg,0,1,0,0
4,3496,../Data/Efigi_images/i_mages/3496.0.jpg,0,0,1,0
4,3563,../Data/Efigi_images/i_mages/3563.0.jpg,0,0,1,0
4,3566,../Data/Efigi_images/i_mages/3566.0.jpg,0,0,1,0
4,3569,../Data/Efigi_images/i_mages/3569.0.jpg,0,0,1,0
4,3584,../Data/Efigi_images/i_mages/3584.0.jpg,0,0,1,0
4,3620,../Data/Efigi_images/i_mages/3620.0.jpg,0,0,1,0
